Frequency (Hz),Real,Imaginary,Real,Imaginary
1000000000,0.036315918,-0.165603638,0.019981384,-0.015872955
1045000000,0.014457703,-0.157905579,0.017671585,-0.021252632
1090000000,-0.004684448,-0.146751404,0.016241074,-0.024278641
1135000000,-0.020645142,-0.132247925,0.012498856,-0.030075073
1180000000,-0.031211853,-0.114196777,0.008245468,-0.033258438
1225000000,-0.038818359,-0.095199585,0.00296402,-0.036849976
1270000000,-0.04076004,-0.075874329,-0.002958298,-0.037824631
1315000000,-0.038322449,-0.057357788,-0.009304047,-0.039028168
1360000000,-0.030765533,-0.039604187,-0.016939163,-0.038230896
1405000000,-0.019090652,-0.025503159,-0.024284363,-0.036600113
1450000000,-0.004821777,-0.013913155,-0.040935516,-0.027843475
1495000000,0.012224197,-0.007369995,-0.026945114,-0.016540527
1540000000,0.02771759,0.005533218,-0.036027908,-0.009731293
1585000000,0.056447983,-0.007181168,-0.029047012,-0.012300491
1630000000,0.073516846,-0.016712189,-0.031044006,-0.007978439
1675000000,0.090084076,-0.029872894,-0.031288147,-0.000455856
1720000000,0.103252411,-0.048358917,-0.027344704,0.004912376
1765000000,0.112716675,-0.068752289,-0.025072098,0.009955406
1810000000,0.117397308,-0.091960907,-0.018680573,0.01474762
1855000000,0.11730957,-0.117179871,-0.012144089,0.016429901
1900000000,0.110923767,-0.14302063,-0.004108429,0.016849518
1945000000,0.099647522,-0.16570282,0.002411842,0.01693058
1990000000,0.084793091,-0.188453674,0.01115799,0.013447762
2035000000,0.062110901,-0.20615387,0.016222954,0.008619308
2080000000,0.038673401,-0.222892761,0.023263931,0.002047539
2125000000,0.011199951,-0.233558655,0.026554108,-0.006447792
2170000000,-0.015869141,-0.236946106,0.029887199,-0.013847351
2215000000,-0.045196533,-0.239440918,0.030492783,-0.025240898
2260000000,-0.074432373,-0.231933594,0.027109146,-0.034597397
2305000000,-0.100692749,-0.220504761,0.024353027,-0.044803619
2350000000,-0.12677002,-0.204467773,0.018253326,-0.053413391
2395000000,-0.147979736,-0.18359375,0.009757996,-0.060289383
2440000000,-0.167663574,-0.162002563,-0.000888824,-0.067642212
2485000000,-0.179870605,-0.136291504,-0.012744904,-0.071990967
2530000000,-0.185180664,-0.109466553,-0.023151398,-0.073822021
2575000000,-0.185745239,-0.080368042,-0.035297394,-0.072280884
2620000000,-0.181648254,-0.054244995,-0.048351288,-0.069072723
2665000000,-0.170471191,-0.027923584,-0.059627533,-0.063518524
2710000000,-0.154418945,-0.006896973,-0.069587708,-0.055938721
2755000000,-0.137878418,0.012451172,-0.079509735,-0.044521332
2800000000,-0.114238739,0.024288177,-0.087184906,-0.031051636
2845000000,-0.094539642,0.03761673,-0.102508545,-0.00440979
2890000000,-0.049015045,0.044975281,-0.033151627,0.041137695
2935000000,-0.022174835,0.017834663,-0.042881012,-0.020618439
2980000000,0.011423111,0.004752159,-0.061138153,-0.012149811
3025000000,0.015125275,-0.033294678,-0.061565399,-0.005195618
3070000000,0.020244598,-0.056365967,-0.060146332,0.002281189
3115000000,0.023204803,-0.089305878,-0.051586151,0.005008698
3160000000,0.011669159,-0.122337341,-0.047266006,0.005851746
3205000000,-0.006996155,-0.157539368,-0.041320801,0.007228851
3250000000,-0.040939331,-0.187316895,-0.038637161,0.002971649
3295000000,-0.085861206,-0.205780029,-0.036020279,-0.002216339
3340000000,-0.139526367,-0.203536987,-0.036085129,-0.010446548
3385000000,-0.184112549,-0.176223755,-0.037437439,-0.014982224
3430000000,-0.202713013,-0.13722229,-0.041423798,-0.023094177
3475000000,-0.205627441,-0.107177734,-0.05009079,-0.02646637
3520000000,-0.200820923,-0.094802856,-0.057624817,-0.032775879
3565000000,-0.209075928,-0.086914063,-0.071048737,-0.03302002
3610000000,-0.220794678,-0.074203491,-0.080059052,-0.030349731
3655000000,-0.243255615,-0.061813354,-0.097259521,-0.02658844
3700000000,-0.258575439,-0.042022705,-0.111480713,-0.017684937
3745000000,-0.271026611,-0.023071289,-0.124359131,-0.010238647
3790000000,-0.277023315,0.004943848,-0.134902954,0.004013062
3835000000,-0.272201538,0.035247803,-0.138496399,0.019058228
3880000000,-0.26663208,0.069992065,-0.14490509,0.040298462
3925000000,-0.253646851,0.101989746,-0.144172668,0.062553406
3970000000,-0.236854553,0.12840271,-0.142204285,0.081794739
