"freq
References : ['S(2,1)','S(4,3)','S(6,5)']
Dependency : [freq]
Num. Points : [221]
Matrix Size : scalar
Type : Real","S(2,1)
References : []
Dependency : [freq]
Num. Points : [221]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(4,3)
References : []
Dependency : [freq]
Num. Points : [221]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(6,5)
References : []
Dependency : [freq]
Num. Points : [221]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag"
1.000 GHz,0.040 + j0.023 ,0.029 + j0.019 ,0.048 + j0.027 
1.050 GHz,0.044 + j0.022 ,0.032 + j0.018 ,0.053 + j0.026 
1.100 GHz,0.048 + j0.021 ,0.035 + j0.018 ,0.058 + j0.025 
1.150 GHz,0.052 + j0.020 ,0.038 + j0.017 ,0.064 + j0.023 
1.200 GHz,0.056 + j0.018 ,0.041 + j0.016 ,0.069 + j0.020 
1.250 GHz,0.061 + j0.016 ,0.045 + j0.014 ,0.074 + j0.017 
1.300 GHz,0.065 + j0.013 ,0.048 + j0.012 ,0.080 + j0.013 
1.350 GHz,0.069 + j0.010 ,0.052 + j0.010 ,0.085 + j0.008 
1.400 GHz,0.074 + j0.006 ,0.055 + j0.007 ,0.091 + j0.003 
1.450 GHz,0.078 + j0.002 ,0.059 + j0.004 ,0.096 - j0.003 
1.500 GHz,0.083 - j0.003 ,0.063 + j0.001 ,0.101 - j0.010 
1.550 GHz,0.087 - j0.009 ,0.066 - j0.003 ,0.106 - j0.017 
1.600 GHz,0.091 - j0.015 ,0.070 - j0.007 ,0.110 - j0.025 
1.650 GHz,0.095 - j0.021 ,0.073 - j0.012 ,0.114 - j0.034 
1.700 GHz,0.099 - j0.029 ,0.076 - j0.017 ,0.118 - j0.044 
1.750 GHz,0.102 - j0.037 ,0.079 - j0.023 ,0.121 - j0.055 
1.800 GHz,0.105 - j0.045 ,0.082 - j0.029 ,0.123 - j0.066 
1.850 GHz,0.108 - j0.055 ,0.084 - j0.036 ,0.124 - j0.079 
1.900 GHz,0.110 - j0.065 ,0.086 - j0.044 ,0.124 - j0.092 
1.950 GHz,0.111 - j0.076 ,0.088 - j0.052 ,0.123 - j0.106 
2.000 GHz,0.111 - j0.087 ,0.089 - j0.061 ,0.121 - j0.120 
2.050 GHz,0.111 - j0.100 ,0.089 - j0.070 ,0.118 - j0.135 
2.100 GHz,0.110 - j0.113 ,0.089 - j0.080 ,0.113 - j0.150 
2.150 GHz,0.107 - j0.126 ,0.088 - j0.090 ,0.107 - j0.166 
2.200 GHz,0.104 - j0.141 ,0.087 - j0.101 ,0.099 - j0.182 
2.250 GHz,0.099 - j0.156 ,0.084 - j0.113 ,0.089 - j0.198 
2.300 GHz,0.093 - j0.171 ,0.080 - j0.124 ,0.078 - j0.214 
2.350 GHz,0.084 - j0.187 ,0.075 - j0.137 ,0.064 - j0.230 
2.400 GHz,0.075 - j0.203 ,0.069 - j0.149 ,0.049 - j0.246 
2.450 GHz,0.063 - j0.220 ,0.061 - j0.162 ,0.031 - j0.261 
2.500 GHz,0.049 - j0.236 ,0.052 - j0.175 ,0.011 - j0.275 
2.550 GHz,0.032 - j0.252 ,0.041 - j0.189 ,-0.012 - j0.289 
2.600 GHz,0.014 - j0.268 ,0.029 - j0.202 ,-0.036 - j0.301 
2.650 GHz,-0.008 - j0.284 ,0.015 - j0.215 ,-0.064 - j0.311 
2.700 GHz,-0.032 - j0.298 ,-0.002 - j0.227 ,-0.093 - j0.320 
2.750 GHz,-0.059 - j0.311 ,-0.020 - j0.239 ,-0.126 - j0.326 
2.800 GHz,-0.089 - j0.322 ,-0.041 - j0.250 ,-0.160 - j0.329 
2.850 GHz,-0.123 - j0.331 ,-0.064 - j0.260 ,-0.197 - j0.330 
2.900 GHz,-0.159 - j0.338 ,-0.090 - j0.269 ,-0.236 - j0.327 
2.950 GHz,-0.199 - j0.341 ,-0.118 - j0.276 ,-0.277 - j0.319 
3.000 GHz,-0.242 - j0.340 ,-0.149 - j0.280 ,-0.319 - j0.307 
3.050 GHz,-0.287 - j0.334 ,-0.182 - j0.282 ,-0.364 - j0.290 
3.100 GHz,-0.335 - j0.323 ,-0.218 - j0.281 ,-0.408 - j0.267 
3.150 GHz,-0.384 - j0.306 ,-0.256 - j0.276 ,-0.452 - j0.237 
3.200 GHz,-0.435 - j0.281 ,-0.297 - j0.266 ,-0.495 - j0.202 
3.250 GHz,-0.486 - j0.249 ,-0.339 - j0.252 ,-0.537 - j0.158 
3.300 GHz,-0.536 - j0.208 ,-0.383 - j0.231 ,-0.575 - j0.108 
3.350 GHz,-0.584 - j0.158 ,-0.427 - j0.204 ,-0.609 - j0.049 
3.400 GHz,-0.627 - j0.100 ,-0.472 - j0.169 ,-0.636 + j0.015 
3.450 GHz,-0.665 - j0.032 ,-0.515 - j0.127 ,-0.657 + j0.087 
3.500 GHz,-0.695 + j0.045 ,-0.555 - j0.076 ,-0.669 + j0.164 
3.550 GHz,-0.716 + j0.130 ,-0.591 - j0.016 ,-0.670 + j0.247 
3.600 GHz,-0.724 + j0.220 ,-0.621 + j0.053 ,-0.661 + j0.331 
3.650 GHz,-0.720 + j0.316 ,-0.643 + j0.130 ,-0.638 + j0.417 
3.700 GHz,-0.701 + j0.413 ,-0.654 + j0.215 ,-0.604 + j0.502 
3.750 GHz,-0.667 + j0.510 ,-0.653 + j0.305 ,-0.556 + j0.583 
3.800 GHz,-0.618 + j0.603 ,-0.638 + j0.399 ,-0.497 + j0.659 
3.850 GHz,-0.554 + j0.691 ,-0.607 + j0.494 ,-0.426 + j0.727 
3.900 GHz,-0.477 + j0.769 ,-0.560 + j0.587 ,-0.346 + j0.787 
